rank,title,rating,votes,genres,duration_min,content_rating,year,country,actors,url
67,The Great Dictator,8.4,248666,"['Comedy', 'Drama', 'War']",125,G,,,[],https://www.imdb.com/title/tt0032553/
68,12th Fail,8.8,147350,"['Biography', 'Drama']",147,,,,[],https://www.imdb.com/title/tt23849204/
69,Inglourious Basterds,8.4,1681517,"['Adventure', 'Drama', 'War']",153,R,,,[],https://www.imdb.com/title/tt0361748/
70,Aliens,8.4,808481,"['Action', 'Adventure', 'Horror']",137,R,,,[],https://www.imdb.com/title/tt0090605/
71,The Dark Knight Rises,8.4,1912573,"['Action', 'Crime', 'Drama']",164,PG-13,,,[],https://www.imdb.com/title/tt1345836/
72,Coco,8.4,649559,"['Animation', 'Adventure', 'Drama']",105,PG,,,[],https://www.imdb.com/title/tt2380307/
73,Amadeus,8.4,448367,"['Biography', 'Drama', 'Music']",160,PG,,,[],https://www.imdb.com/title/tt0086879/
74,Toy Story,8.3,1121961,"['Animation', 'Adventure', 'Comedy']",81,G,,,[],https://www.imdb.com/title/tt0114709/
75,Avengers: Endgame,8.4,1356336,"['Action', 'Adventure', 'Sci-Fi']",181,PG-13,,,[],https://www.imdb.com/title/tt4154796/
76,Good Will Hunting,8.3,1137004,"['Drama', 'Romance']",126,R,,,[],https://www.imdb.com/title/tt0119217/
77,Oldeuboi,8.3,678630,"['Action', 'Drama', 'Mystery']",120,R,,,[],https://www.imdb.com/title/tt0364569/
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,537442,"['Comedy', 'War']",95,PG,,,[],https://www.imdb.com/title/tt0057012/
79,Das Boot,8.4,279132,"['Drama', 'War']",149,,,,[],https://www.imdb.com/title/tt0082096/
80,Braveheart,8.3,1129041,"['Biography', 'Drama', 'War']",178,R,,,[],https://www.imdb.com/title/tt0112573/
81,American Beauty,8.3,1248471,['Drama'],122,R,,,[],https://www.imdb.com/title/tt0169547/
82,Mononoke-hime,8.3,460081,"['Animation', 'Adventure', 'Fantasy']",133,PG-13,,,[],https://www.imdb.com/title/tt0119698/
83,Kimi no na wa.,8.4,356666,"['Animation', 'Drama', 'Fantasy']",106,,,,[],https://www.imdb.com/title/tt5311514/
84,Tengoku to jigoku,8.4,60127,"['Crime', 'Drama', 'Mystery']",143,Not Rated,,,[],https://www.imdb.com/title/tt0057565/
85,3 Idiots,8.4,458288,"['Comedy', 'Drama']",170,PG-13,,,[],https://www.imdb.com/title/tt1187043/
86,Joker,8.3,1607994,"['Crime', 'Drama', 'Thriller']",122,R,,,[],https://www.imdb.com/title/tt7286456/
87,Once Upon a Time in America,8.3,394930,"['Crime', 'Drama']",229,R,,,[],https://www.imdb.com/title/tt0087843/
88,Capharnaüm,8.4,116027,['Drama'],126,R,,,[],https://www.imdb.com/title/tt8267604/
89,Singin&apos; in the Rain,8.3,272461,"['Comedy', 'Musical', 'Romance']",103,G,,,[],https://www.imdb.com/title/tt0045152/
90,Hababam Sinifi: Sinifta Kaldi,8.8,26385,['Comedy'],95,,,,[],https://www.imdb.com/title/tt0252488/
91,Idi i smotri,8.3,111768,"['Drama', 'Thriller', 'War']",142,Not Rated,,,[],https://www.imdb.com/title/tt0091251/
92,Requiem for a Dream,8.3,938426,['Drama'],102,NC-17,,,[],https://www.imdb.com/title/tt0180093/
93,Star Wars: Episode VI - Return of the Jedi,8.3,1164352,"['Action', 'Adventure', 'Fantasy']",131,PG,,,[],https://www.imdb.com/title/tt0086190/
94,Toy Story 3,8.3,931300,"['Animation', 'Adventure', 'Comedy']",103,G,,,[],https://www.imdb.com/title/tt0435761/
95,Jagten,8.3,387895,['Drama'],115,R,,,[],https://www.imdb.com/title/tt2106476/
96,Ikiru,8.3,96335,['Drama'],143,Not Rated,,,[],https://www.imdb.com/title/tt0044741/
97,Eternal Sunshine of the Spotless Mind,8.3,1135951,"['Drama', 'Romance', 'Sci-Fi']",108,R,,,[],https://www.imdb.com/title/tt0338013/
98,2001: A Space Odyssey,8.3,753246,"['Adventure', 'Sci-Fi']",149,G,,,[],https://www.imdb.com/title/tt0062622/
99,Reservoir Dogs,8.3,1132100,"['Crime', 'Thriller']",99,R,,,[],https://www.imdb.com/title/tt0105236/
100,The Apartment,8.3,208828,"['Comedy', 'Drama', 'Romance']",125,Approved,,,[],https://www.imdb.com/title/tt0053604/
101,Incendies,8.3,227488,"['Drama', 'Mystery', 'War']",131,R,,,[],https://www.imdb.com/title/tt1255953/
102,Lawrence of Arabia,8.3,328997,"['Adventure', 'Biography', 'Drama']",227,PG,,,[],https://www.imdb.com/title/tt0056172/
103,Scarface,8.3,965104,"['Crime', 'Drama']",170,R,,,[],https://www.imdb.com/title/tt0086250/
104,Double Indemnity,8.3,174767,"['Crime', 'Drama', 'Film-Noir']",107,Approved,,,[],https://www.imdb.com/title/tt0036775/
105,Heat,8.3,757673,"['Action', 'Crime', 'Drama']",170,R,,,[],https://www.imdb.com/title/tt0113277/
106,North by Northwest,8.3,360300,"['Adventure', 'Drama', 'Mystery']",136,Approved,,,[],https://www.imdb.com/title/tt0053125/
107,Up,8.3,1181219,"['Animation', 'Adventure', 'Comedy']",96,PG,,,[],https://www.imdb.com/title/tt1049413/
108,Citizen Kane,8.3,480821,"['Drama', 'Mystery']",119,PG,,,[],https://www.imdb.com/title/tt0033467/
109,M - Eine Stadt sucht einen Mörder,8.3,176964,"['Crime', 'Mystery', 'Thriller']",99,Passed,,,[],https://www.imdb.com/title/tt0022100/
110,Full Metal Jacket,8.2,821625,"['Drama', 'War']",116,R,,,[],https://www.imdb.com/title/tt0093058/
111,Vertigo,8.2,444809,"['Mystery', 'Romance', 'Thriller']",128,PG,,,[],https://www.imdb.com/title/tt0052357/
112,Le fabuleux destin d&apos;Amélie Poulain,8.3,818327,"['Comedy', 'Romance']",122,R,,,[],https://www.imdb.com/title/tt0211915/
113,Jodaeiye Nader az Simin,8.3,269186,['Drama'],123,PG-13,,,[],https://www.imdb.com/title/tt1832382/
114,To Kill a Mockingbird,8.3,343164,"['Crime', 'Drama']",129,Approved,,,[],https://www.imdb.com/title/tt0056592/
115,A Clockwork Orange,8.2,911310,"['Crime', 'Sci-Fi']",136,R,,,[],https://www.imdb.com/title/tt0066921/
116,Taare Zameen Par,8.3,217704,"['Drama', 'Family']",162,PG,,,[],https://www.imdb.com/title/tt0986264/
117,Die Hard,8.2,989900,"['Action', 'Thriller']",132,R,,,[],https://www.imdb.com/title/tt0095016/
118,Indiana Jones and the Last Crusade,8.2,838313,"['Action', 'Adventure']",127,PG-13,,,[],https://www.imdb.com/title/tt0097576/
119,The Sting,8.2,290244,"['Comedy', 'Crime', 'Drama']",129,PG,,,[],https://www.imdb.com/title/tt0070735/
120,Oppenheimer,8.3,889726,"['Biography', 'Drama', 'History']",180,R,,,[],https://www.imdb.com/title/tt15398776/
121,Metropolis,8.3,194305,"['Drama', 'Sci-Fi']",153,Not Rated,,,[],https://www.imdb.com/title/tt0017136/
122,Snatch,8.2,945849,"['Comedy', 'Crime']",102,R,,,[],https://www.imdb.com/title/tt0208092/
123,1917,8.2,727549,"['Action', 'Drama', 'War']",119,R,,,[],https://www.imdb.com/title/tt8579674/
124,L.A. Confidential,8.2,640909,"['Crime', 'Drama', 'Mystery']",138,R,,,[],https://www.imdb.com/title/tt0119488/
125,Ladri di biciclette,8.2,185292,['Drama'],89,Not Rated,,,[],https://www.imdb.com/title/tt0040522/
126,Der Untergang,8.2,388450,"['Biography', 'Drama', 'History']",156,R,,,[],https://www.imdb.com/title/tt0363163/
127,Dangal,8.3,225449,"['Action', 'Biography', 'Drama']",161,Not Rated,,,[],https://www.imdb.com/title/tt5074352/
